direction,ligand,receptor,sender,receiver,ligand_normal,ligand_disease,receptor_normal,receptor_disease,score_normal,score_disease,delta,delta_log2
lung->heart,SPP1,ITGB1,capillary endothelial cell,cardiac fibroblast,0.15954427979531072,0.1547143814821846,0.0033796110976818923,0.0039300875846291295,0.000539197618567897,0.0006080410698267087,6.884345125881164e-05,0.1730522377024519
lung->heart,SPP1,ITGB1,capillary endothelial cell,cardiac endothelial cell,0.15954427979531072,0.1547143814821846,0.005786397802698401,0.005008436613691961,0.0009231866700406848,0.0007748771728800788,-0.00014830949716060598,-0.25235599986954144
lung->heart,SPP1,ITGB1,macrophage,cardiac fibroblast,0.05785857969254898,0.05705548324702967,0.0033796110976818923,0.0039300875846291295,0.0001955394980250507,0.0002242330463441666,2.8693548319115906e-05,0.19659923989311767
lung->heart,SPP1,ITGB1,macrophage,cardiac endothelial cell,0.05785857969254898,0.05705548324702967,0.005786397802698401,0.005008436613691961,0.0003347927584002157,0.0002857587713063117,-4.903398709390404e-05,-0.2277335021934135
lung->heart,SPP1,ITGB1,"CD8-positive, alpha-beta T cell",cardiac fibroblast,0.06749411683295295,0.07106808469449526,0.0033796110976818923,0.0039300875846291295,0.000228103866276886,0.0002793037973212073,5.1199931044321266e-05,0.2909894836615404
lung->heart,SPP1,ITGB1,"CD8-positive, alpha-beta T cell",cardiac endothelial cell,0.06749411683295295,0.07106808469449526,0.005786397802698401,0.005008436613691961,0.00039054780933726814,0.00035593999744887127,-3.4607811888396874e-05,-0.13350690249925876
lung->heart,SPP1,ITGB1,monocyte,cardiac fibroblast,0.09163674726974363,0.0761614671503201,0.0033796110976818923,0.0039300875846291295,0.0003096965680282964,0.0002993212364746123,-1.0375331553684106e-05,-0.04899981033816198
lung->heart,SPP1,ITGB1,monocyte,cardiac endothelial cell,0.09163674726974363,0.0761614671503201,0.005786397802698401,0.005008436613691961,0.0005302466730480733,0.0003814498806281607,-0.0001487967924199126,-0.47411120364366277
lung->heart,SPP1,ITGB1,fibroblast,cardiac fibroblast,0.24272041860287866,0.2858098769680536,0.0033796110976818923,0.0039300875846291295,0.0008203006203442831,0.0011232578490365265,0.0003029572286922434,0.452990663372121
lung->heart,SPP1,ITGB1,fibroblast,cardiac endothelial cell,0.24272041860287866,0.2858098769680536,0.005786397802698401,0.005008436613691961,0.0014044768968737333,0.0014314606523615943,2.6983755487861028e-05,0.027435771766297246
lung->heart,SPP1,ITGB1,conventional dendritic cell,cardiac fibroblast,0.10374054892629889,0.07894522762081944,0.0033796110976818923,0.0039300875846291295,0.00035060271043093103,0.0003102616589383031,-4.034105149262792e-05,-0.17581831468621736
lung->heart,SPP1,ITGB1,conventional dendritic cell,cardiac endothelial cell,0.10374054892629889,0.07894522762081944,0.005786397802698401,0.005008436613691961,0.0006002840843578618,0.000395392168492358,-0.00020489191586550384,-0.6011183122103064
lung->heart,SPP1,ITGB1,mast cell,cardiac fibroblast,0.10817256314996432,0.09839706390433033,0.0033796110976818923,0.0039300875846291295,0.00036558119488631474,0.00038670907921436765,2.1127884328052914e-05,0.08084174043898008
