year,age_name,cases,age,period,cohort,log_cases
2006,35-39 years,18274.36669858342,37.5,2006,1968.5,9.813309350002628
2007,35-39 years,18155.006819522965,37.5,2007,1969.5,9.806756739183411
2008,35-39 years,17959.609035499143,37.5,2008,1970.5,9.795936251943774
2009,35-39 years,17757.98275878734,37.5,2009,1971.5,9.784646737810458
2010,35-39 years,17624.359703630555,37.5,2010,1972.5,9.777094036188842
2011,35-39 years,17497.42233836685,37.5,2011,1973.5,9.769866003754338
2012,35-39 years,17309.80913885237,37.5,2012,1974.5,9.759086391090056
2013,35-39 years,17142.833111255048,37.5,2013,1975.5,9.749393802578211
2014,35-39 years,17078.18471891811,37.5,2014,1976.5,9.745615733118882
2015,35-39 years,17173.3033342661,37.5,2015,1977.5,9.751169553488593
2016,35-39 years,17354.82604615759,37.5,2016,1978.5,9.76168352417601
2017,35-39 years,17556.602376212217,37.5,2017,1979.5,9.773242318926739
2018,35-39 years,17821.26623957603,37.5,2018,1980.5,9.788203866876929
2019,35-39 years,18187.90902447759,37.5,2019,1981.5,9.808567293049263
2020,35-39 years,18775.07650652401,37.5,2020,1982.5,9.840338812220258
2021,35-39 years,19895.56669729318,37.5,2021,1983.5,9.898302468053743
1990,40-44 years,15063.695243887709,42.5,1990,1947.5,9.620109221946423
1991,40-44 years,15822.854103662996,42.5,1991,1948.5,9.669273833879583
1992,40-44 years,16473.46726636842,42.5,1992,1949.5,9.709567022967372
1993,40-44 years,17225.239784914753,42.5,1993,1950.5,9.754189069193881
1994,40-44 years,17819.42713740284,42.5,1994,1951.5,9.788100670288761
1995,40-44 years,18643.577634448968,42.5,1995,1952.5,9.833310639336705
1996,40-44 years,18985.857887230355,42.5,1996,1953.5,9.851502328674812
1997,40-44 years,19138.93558126656,42.5,1997,1954.5,9.859532299341227
1998,40-44 years,19087.94044714372,42.5,1998,1955.5,9.856864412148731
1999,40-44 years,18972.79416224925,42.5,1999,1956.5,9.850814051482955
2000,40-44 years,18969.645371510094,42.5,2000,1957.5,9.850648082988753
2001,40-44 years,19341.29610903934,42.5,2001,1958.5,9.87004948528181
2002,40-44 years,20200.21883800462,42.5,2002,1959.5,9.913498220084081
2003,40-44 years,21518.72180644965,42.5,2003,1960.5,9.976725086982574
2004,40-44 years,23023.013438085087,42.5,2004,1961.5,10.044293012782516
2005,40-44 years,24343.503772344688,42.5,2005,1962.5,10.10006138526446
2006,40-44 years,25157.02622982366,42.5,2006,1963.5,10.132932259001965
2007,40-44 years,25447.140198468984,42.5,2007,1964.5,10.144397942627455
2008,40-44 years,25299.31817678784,42.5,2008,1965.5,10.138572250794155
2009,40-44 years,25007.893765349658,42.5,2009,1966.5,10.126986791200078
2010,40-44 years,24848.70770233912,42.5,2010,1967.5,10.120601268974273
2011,40-44 years,24810.56610145478,42.5,2011,1968.5,10.119065198492688
2012,40-44 years,24733.19160501705,42.5,2012,1969.5,10.115941840896767
2013,40-44 years,24670.56555809146,42.5,2013,1970.5,10.113406667505503
2014,40-44 years,24640.89501690644,42.5,2014,1971.5,10.112203322843847
2015,40-44 years,24682.71251527418,42.5,2015,1972.5,10.113898892771052
2016,40-44 years,24728.0125663149,42.5,2016,1973.5,10.11573243114227
2017,40-44 years,24712.13470490013,42.5,2017,1974.5,10.115090150705965
2018,40-44 years,24712.12574205402,42.5,2018,1975.5,10.115089788030495
2019,40-44 years,24825.69376058156,42.5,2019,1976.5,10.119674714605345
2020,40-44 years,25292.72525790731,42.5,2020,1977.5,10.138311630433721
2021,40-44 years,26664.968084298296,42.5,2021,1978.5,10.191143427805953
1990,45-49 years,21953.445236975826,47.5,1990,1942.5,9.996724914490548
1991,45-49 years,22555.736310227607,47.5,1991,1943.5,10.023789028046862
1992,45-49 years,23348.906866858197,47.5,1992,1944.5,10.058348274517705
1993,45-49 years,24046.722856242835,47.5,1993,1945.5,10.087795587319013
1994,45-49 years,25099.21376149617,47.5,1994,1946.5,10.13063164147788
1995,45-49 years,25723.62814182409,47.5,1995,1947.5,10.155204105469458
1996,45-49 years,26740.56135284611,47.5,1996,1948.5,10.193974239110087
1997,45-49 years,27491.706693330645,47.5,1997,1949.5,10.221676037328352
1998,45-49 years,28401.7320547,47.5,1998,1950.5,10.254240618631615
1999,45-49 years,29110.68719523209,47.5,1999,1951.5,10.278894994360407
