disease,ligand,receptor,sender,receiver,mean_ligand,mean_receptor,score
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",B cell,0.013310912996530533,0.006701188627630472,8.919894025893882e-05
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 1 cell,0.013310912996530533,0.0587434358894825,0.0007819287711754441
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 1 cell,0.013310912996530533,0.12368427217006683,0.0016463506035506725
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 1 cell,0.013310912996530533,0.41951435804367065,0.005584119353443384
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 1 cell,0.013310912996530533,0.015503257513046265,0.00020636251429095864
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 1 cell,0.013310912996530533,0.0,0.0
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",pulmonary alveolar type 1 cell,0.013310912996530533,0.0010918190237134695,1.453310778742889e-05
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",club cell,0.013310912996530533,0.08631543815135956,0.0011489372700452805
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",club cell,0.013310912996530533,0.11950922757387161,0.0015907769557088614
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",club cell,0.013310912996530533,0.21280433237552643,0.0028326199389994144
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",club cell,0.013310912996530533,0.028953084722161293,0.0003853919915854931
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",club cell,0.013310912996530533,0.0,0.0
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",club cell,0.013310912996530533,0.005933290813118219,7.897751493146643e-05
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",neutrophil,0.013310912996530533,0.014111633412539959,0.0001878387265605852
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",neutrophil,0.013310912996530533,2.2625458240509033,0.030116550624370575
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",neutrophil,0.013310912996530533,0.037097059190273285,0.0004937957273796201
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",neutrophil,0.013310912996530533,0.0,0.0
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",neutrophil,0.013310912996530533,0.0,0.0
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",neutrophil,0.013310912996530533,0.11391173303127289,0.001516269170679152
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",plasma cell,0.013310912996530533,0.03262129798531532,0.00043421925511211157
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",plasma cell,0.013310912996530533,0.07067731022834778,0.0009407795150764287
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",plasma cell,0.013310912996530533,0.1007995754480362,0.0013417344307526946
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",plasma cell,0.013310912996530533,0.004957778379321098,6.599255721084774e-05
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",plasma cell,0.013310912996530533,0.0,0.0
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",plasma cell,0.013310912996530533,0.0011446947464719415,1.5236932085826993e-05
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",leukocyte,0.013310912996530533,0.19113506376743317,0.0025441821198910475
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",leukocyte,0.013310912996530533,0.35691437125205994,0.004750856198370457
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",leukocyte,0.013310912996530533,0.33996498584747314,0.004525244235992432
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",leukocyte,0.013310912996530533,0.004113916307687759,5.4759981139795855e-05
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",leukocyte,0.013310912996530533,0.005431992933154106,7.230478513520211e-05
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",leukocyte,0.013310912996530533,0.0676087811589241,0.0008999346173368394
Normal,SERPINE1,LRP1,"CD4-positive, alpha-beta T cell",endothelial cell of lymphatic vessel,0.013310912996530533,0.02008569985628128,0.00026735899155028164
Normal,SERPINE1,PLAUR,"CD4-positive, alpha-beta T cell",endothelial cell of lymphatic vessel,0.013310912996530533,0.09317221492528915,0.0012402072316035628
Normal,SERPINE1,ITGAV,"CD4-positive, alpha-beta T cell",endothelial cell of lymphatic vessel,0.013310912996530533,0.6201860308647156,0.008255242370069027
Normal,SERPINE1,ITGB3,"CD4-positive, alpha-beta T cell",endothelial cell of lymphatic vessel,0.013310912996530533,0.03770211338996887,0.0005018495721742511
Normal,SERPINE1,VTN,"CD4-positive, alpha-beta T cell",endothelial cell of lymphatic vessel,0.013310912996530533,0.005374448373913765,7.153881597332656e-05
Normal,SERPINE1,PLAU,"CD4-positive, alpha-beta T cell",endothelial cell of lymphatic vessel,0.013310912996530533,0.008077932521700859,0.00010752465459518135
Normal,SERPINE1,LRP1,natural killer cell,"CD4-positive, alpha-beta T cell",0.013663219287991524,0.014970630407333374,0.00020454700279515237
Normal,SERPINE1,PLAUR,natural killer cell,"CD4-positive, alpha-beta T cell",0.013663219287991524,0.06878918409347534,0.0009398817201144993
Normal,SERPINE1,ITGAV,natural killer cell,"CD4-positive, alpha-beta T cell",0.013663219287991524,0.1432809829711914,0.0019576794002205133
Normal,SERPINE1,ITGB3,natural killer cell,"CD4-positive, alpha-beta T cell",0.013663219287991524,0.0004901275970041752,6.696720902255038e-06
Normal,SERPINE1,VTN,natural killer cell,"CD4-positive, alpha-beta T cell",0.013663219287991524,0.0007507849368266761,1.0258138900098857e-05
Normal,SERPINE1,PLAU,natural killer cell,"CD4-positive, alpha-beta T cell",0.013663219287991524,0.002736940048635006,3.7395413528429344e-05
Normal,SERPINE1,LRP1,natural killer cell,natural killer cell,0.013663219287991524,0.015207733027637005,0.00020778659381903708
Normal,SERPINE1,PLAUR,natural killer cell,natural killer cell,0.013663219287991524,0.03888087719678879,0.0005312379798851907
Normal,SERPINE1,ITGAV,natural killer cell,natural killer cell,0.013663219287991524,0.12946993112564087,0.0017689761007204652
Normal,SERPINE1,ITGB3,natural killer cell,natural killer cell,0.013663219287991524,0.0020600573625415564,2.814701474562753e-05
Normal,SERPINE1,VTN,natural killer cell,natural killer cell,0.013663219287991524,0.00036771950544789433,5.024232450523414e-06
Normal,SERPINE1,PLAU,natural killer cell,natural killer cell,0.013663219287991524,0.002590348245576024,3.5392495192354545e-05
Normal,SERPINE1,LRP1,natural killer cell,capillary endothelial cell,0.013663219287991524,0.04081709682941437,0.0005576929543167353
Normal,SERPINE1,PLAUR,natural killer cell,capillary endothelial cell,0.013663219287991524,0.15086756646633148,0.0020613365340977907
Normal,SERPINE1,ITGAV,natural killer cell,capillary endothelial cell,0.013663219287991524,1.0649206638336182,0.014550244435667992
Normal,SERPINE1,ITGB3,natural killer cell,capillary endothelial cell,0.013663219287991524,0.005221290048211813,7.133962935768068e-05
