year,cases_<5 years,cases_5-9 years,cases_10-14 years,cases_15-19 years,cases_20-24 years,cases_25-29 years,cases_30-34 years,cases_35-39 years,cases_40-44 years,cases_45-49 years,cases_50-54 years,cases_55-59 years,cases_60-64 years,cases_65-69 years,cases_70-74 years,cases_75-79 years,cases_80-84 years,cases_85-89 years,cases_90-94 years,cases_95+ years,pop_<5 years,pop_5-9 years,pop_10-14 years,pop_15-19 years,pop_20-24 years,pop_25-29 years,pop_30-34 years,pop_35-39 years,pop_40-44 years,pop_45-49 years,pop_50-54 years,pop_55-59 years,pop_60-64 years,pop_65-69 years,pop_70-74 years,pop_75-79 years,pop_80-84 years,pop_85-89 years,pop_90-94 years,pop_95+ years
2010,0.0,0.0,0.0,13819.171921981851,14025.776022547954,14644.897588550128,14791.059084012972,17624.359703630555,24848.70770233912,37598.10285001004,50390.610830245896,70674.53580158656,143101.8806975763,349464.94871345034,510915.8038833741,507798.2681522927,409912.3586889248,258108.90071337103,98638.8752921131,28044.848180386885,,,,609950128.2992219,614620885.7738506,554462121.2540622,508260907.8438645,494751856.47088283,464822243.98017097,410903514.1796441,341763284.30551404,302127746.4694998,238616757.79357746,178040129.64995876,145726901.95198768,104021645.5066538,64830074.32170915,30934340.378556244,10204486.009489242,3127374.596136665
2011,0.0,0.0,0.0,13791.838370367854,14011.278841415888,14877.489730859435,14867.133492827676,17497.42233836685,24810.56610145478,38620.311993445,50512.20378654498,71691.32586408503,148687.21751209215,358022.02898346714,517579.2853847892,520223.8927194312,423748.89347215183,269465.66111006914,105198.51147346012,29685.8942939126,,,,606360611.298486,615726482.6597002,567548934.6781297,514464782.7256514,495348279.96715647,470305668.59892243,423380625.273857,347447632.625518,310125205.72569627,251284540.4752429,181854614.2823471,148300603.88147932,106781640.23032154,66890106.205970265,32316717.176939294,10936829.472499603,3254694.8508143253
2012,0.0,0.0,0.0,13782.670075750386,13928.936609649423,15072.249112945234,14940.339279356396,17309.80913885237,24733.19160501705,39257.7605082514,51240.79171622536,72142.53188264246,152389.96550844217,371821.0505963641,523542.5846340519,532132.0085138793,436834.4650979069,281486.9658917826,112035.5140309718,31416.4420631266,,,,604266521.4416927,613674305.4226031,580775573.5133772,521925036.5440458,495552673.984964,475184701.8467643,434023175.3765489,356296206.8883666,316927808.8885722,260451575.21661177,190244637.90753853,150343752.23893645,109942283.79888923,68689663.16201316,33792348.88436767,11721069.095369175,3375641.038488969
2013,0.0,0.0,0.0,13794.403594121128,13829.734262810132,15223.19014812996,15043.60260693251,17142.833111255048,24670.56555809146,39532.17726358006,52777.36433992943,71938.96463146934,157114.00035495943,383136.2561004312,531736.650544639,542582.5859883634,449380.0560598102,293921.7225583898,118319.92425924438,32920.37762589439,,,,603076397.2169774,609699772.8670472,592435348.295204,530850776.2769658,496534599.6484417,479400156.078351,441784269.29218674,369048911.1223,321855345.55102754,270572885.4087962,199111566.2040044,152368609.35630405,113064926.89636809,70444837.58657658,35296189.46012256,12492316.548003575,3497852.8212235053
2014,0.0,0.0,0.0,13834.916489394063,13752.911488692413,15337.564006312963,15205.725075158094,17078.18471891811,24640.89501690644,39699.58573524072,54793.18990791518,71515.21388443318,160512.3820024175,402602.26385706186,540236.537167274,551837.4335448878,462845.7562623256,305225.4213289691,123735.46413437756,33986.052117616906,,,,602502881.1081309,604844180.4451123,601270294.1221423,541087887.872981,499330325.05705553,482564361.70575297,447768354.68080896,383650184.3205281,325504790.4446541,278902059.8190253,211131041.1305668,154666522.01580158,115953635.8850607,72216010.99945799,36738726.90706363,13207653.476998169,3646107.117766338
2015,0.0,0.0,0.0,13916.434889253096,13733.947508652598,15433.137126330346,15460.573741876116,17173.3033342661,24682.71251527418,39989.95839654924,57025.0103362196,71492.71082948404,166543.4818762184,414138.4616043746,550030.0640811981,562760.6265125326,477222.1478001922,316994.7314014578,129288.95378852752,35504.86941083823,,,,602739088.4961655,600149228.4683694,606445316.0438335,552649257.3110303,504246656.95075035,484461087.6901322,452937040.93450224,398041151.0837293,329208084.64798486,290535287.2872189,220972046.53598097,156861724.74400565,118780056.62112586,74231526.8815842,38073225.75628584,13891261.96528101,3874882.777990893
2016,0.0,0.0,0.0,13980.728147709196,13743.729124483549,15441.454235725176,15756.060488202733,17354.82604615759,24728.0125663149,40444.81721183171,59136.72206360031,72267.00583064831,169270.62483199575,431698.0612495166,565717.9594230867,573289.0423135738,493751.74176121806,331018.0960912628,135942.57497873026,37623.73947665576,,,,603580125.2257277,597052243.238254,607160027.4709891,565703744.1273118,510427292.0115419,485119767.3925108,458610672.891153,410405422.097393,334815008.8248992,298107193.64827347,233016893.24147028,160629108.812762,121320545.48483989,76577010.28865872,39448834.98240398,14568279.795366224,4131509.066057
2017,0.0,0.0,0.0,13998.23290754282,13736.26943811154,15342.062750619416,16010.869904866366,17556.602376212217,24712.13470490013,40905.372770935486,60868.17045151963,73965.21935906421,170716.93694571996,443689.7146778832,589444.0996436398,583003.8691195485,511042.52774417785,346239.94481968164,143870.26452499753,40154.85748851237,,,,605193443.4777489,595480749.3875928,604731281.9935704,578817473.9701873,517782480.24224,485372750.96041787,463630994.57566625,420960617.76633996,343469602.8832934,304485986.9894761,241727274.95377722,168505836.672935,123416367.8502204,79205796.05337518,40673019.731829,15285198.38543589,4396913.324283702
2018,0.0,0.0,0.0,14026.589617030926,13737.099291751623,15216.9305609922,16232.573693973549,17821.26623957603,24712.12574205402,41358.89906745268,62061.67897197849,76807.51191914122,170442.13836024769,459286.741521492,608968.3365477115,595430.2763303071,527626.1798964891,362389.0898050279,152935.9072414805,42950.316113764784,,,,607935331.0386856,594837158.623994,600498512.1572651,590341040.0240785,526565910.1644541,486382759.592541,467961540.56194484,428680253.4232361,355923529.0700377,309019454.5665902,251242945.0745805,176655966.57485908,125472908.6237973,81794977.48453802,41922845.87000485,16043811.556366617,4666218.382602548
2019,0.0,0.0,0.0,14133.355301210511,13785.528922556798,15143.312108667988,16439.846275364598,18187.909024477594,24825.69376058156,41739.94988455859,62920.237109759146,80227.68886631,169412.6062723153,471426.43191319774,643264.2353702732,608951.1694688322,543184.7693642528,379983.91056740686,162104.00434961542,45892.86982011584,,,,611964864.4253546,594924367.361791,595610150.8825116,599062597.5706528,536692305.16543,489246749.8263389,471230258.4375173,434648510.67409164,370192263.1589461,312308385.06323713,259038664.009409,187569519.83575922,127669775.72668634,84197082.59945244,43277839.27206005,16820237.98515595,4952024.893461825
2020,0.0,0.0,0.0,14287.318755368577,13841.70534112792,15106.843474321053,16597.75106663874,18775.07650652401,25292.72525790731,41973.33664071647,63145.96090231505,82401.47909708344,166731.4087341218,487350.5554887921,659503.7189599953,618756.2265872778,553916.7364899165,393860.9763242518,169314.75534148034,48502.70511732621,,,,617182561.6652154,595839340.9878979,591051880.6747227,604034936.2834582,548078541.116606,494192164.02701896,473085416.33285624,439653642.540081,384108080.47595304,315441703.3191033,269557352.20948243,196046223.32186753,129360401.16264817,86243044.75314638,44592974.31119325,17441307.135376215,5228020.057092398
2021,0.0,0.0,0.0,15520.459788125909,14951.017139655693,15679.633706391627,17109.61281243608,19895.56669729318,26664.968084298296,44387.31988015799,67266.19896680822,88220.19338277332,171512.76456722288,506503.966835317,705202.4991559931,662382.0985842749,591264.155789666,428037.6902354532,185011.6053819996,53526.6121111846,,,,623979871.3128198,597158138.0569667,588343218.6268225,604480174.7768384,560866105.9152644,500250795.60533834,473504625.9030776,444922982.84127456,395728003.9865678,320047853.31284803,275842158.5223623,205839220.38600314,131884404.58021937,87583056.91849132,45721791.0517722,17889373.591415133,5450308.674933475
