cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
pulmonary alveolar type 1 cell,CDKN1A,0.28846976161003113,0.2954935133457184,0.2648401826484018,0.28059701492537314,-0.040019020438194275,-0.36481185564730834,0.7152518546205149,219,335,1.0
pulmonary alveolar type 2 cell,CDKN1A,0.21941228210926056,0.27048197388648987,0.3242924528301887,0.408179012345679,-0.34022966027259827,-3.2797565205698254,0.001038967095191594,848,1296,0.006753286118745361
smooth muscle cell,CDKN1A,0.4974706172943115,0.6185591816902161,0.3340857787810384,0.44019138755980863,-0.40972843766212463,-2.8262408979756084,0.004709782944396849,443,836,0.026240219261639587
vein endothelial cell,CDKN1A,0.9601165056228638,1.081856608390808,0.6079613992762364,0.6981450252951096,-0.27473393082618713,-3.149561985323743,0.0016351541674531973,829,1186,0.010381327621272625
B cell,EGR1,0.2867797315120697,0.30144214630126953,0.23768115942028986,0.23978201634877383,-0.08303246647119522,-0.04721424473368163,0.9623424745277588,345,367,1.0
"CD4-positive, alpha-beta T cell",EGR1,0.29848912358283997,0.1723541021347046,0.27991401958442796,0.16787405962663696,0.8868564367294312,10.212308088704921,1.746598342045092e-24,4187,7178,5.298014970870112e-23
"CD8-positive, alpha-beta T cell",EGR1,0.2881077229976654,0.13844642043113708,0.20624593363695512,0.09849942285494422,1.1690726280212402,5.766016730917974,8.116700520560004e-09,1537,2599,1.0551710676728005e-07
capillary endothelial cell,EGR1,0.5857309103012085,0.9601590633392334,0.33232931726907633,0.46421267893660534,-1.017561912536621,-10.31837594940464,5.81992292663117e-25,1992,4401,2.2697699413861562e-23
club cell,EGR1,0.891910970211029,0.8880621790885925,0.6075949367088608,0.6194029850746269,0.009421849623322487,0.03956918596707214,0.9684365942266469,395,134,1.0
conventional dendritic cell,EGR1,0.7647427320480347,0.6675161123275757,0.642226148409894,0.5674224343675418,0.274605929851532,3.7563953201814386,0.00017237832581136895,1132,1676,0.0012384021828027295
endothelial cell,EGR1,1.4390605688095093,1.664260983467102,0.7138461538461538,0.7427597955706985,-0.412610799074173,-2.4989309762727197,0.012456857106164173,325,587,0.061831308908778526
endothelial cell of lymphatic vessel,EGR1,0.48573362827301025,0.41990628838539124,0.3779527559055118,0.27007299270072993,0.2611537575721741,1.1559039204815476,0.2477204588661801,127,137,0.7044550549006996
fibroblast,EGR1,1.1352900266647339,1.3273333311080933,0.5695006747638327,0.6203419552827707,-0.39173129200935364,-3.590246155914687,0.0003303658259885325,741,2281,0.002254746762371734
leukocyte,EGR1,0.4483283758163452,0.35383597016334534,0.5297297297297298,0.38219895287958117,0.4141812026500702,2.150212917678629,0.031538376830492404,185,191,0.1411471618807283
lung multiciliated epithelial cell,EGR1,0.4177393913269043,0.15973173081874847,0.2845982142857143,0.1318785578747628,1.5820069313049316,6.0411969858233165,1.5297507693450054e-09,896,1054,2.198010315953613e-08
macrophage,EGR1,0.6578447222709656,0.6336445212364197,0.6293706293706294,0.5876694359422825,0.07339615374803543,1.8854422546041387,0.05937015375188322,2002,2287,0.2348993039748423
mast cell,EGR1,0.9338688850402832,0.7446016669273376,0.548197820620285,0.4639344262295082,0.4821520149707794,4.5650753519244835,4.993149580534999e-06,1193,1220,4.543766118286849e-05
monocyte,EGR1,0.7898290753364563,0.5575629472732544,0.6570904645476773,0.5561766349916154,0.6886179447174072,8.808362839169886,1.2698682217480356e-18,1636,1789,3.466740245372137e-17
natural killer cell,EGR1,0.3024009168148041,0.20011389255523682,0.27040816326530615,0.1908786758232083,0.6725121140480042,6.403156708915204,1.5219683341402205e-10,2744,5679,2.5357463121956967e-09
neutrophil,EGR1,0.4886360168457031,0.2875536382198334,0.23780487804878048,0.14285714285714285,0.9193366169929504,1.7115931680355934,0.08697166823635252,164,357,0.30054766365220553
plasma cell,EGR1,0.46721431612968445,0.4353483021259308,0.5139664804469274,0.5023923444976076,0.12662382423877716,0.27559723699271443,0.7828574320716025,179,209,1.0
pulmonary alveolar type 1 cell,EGR1,0.7324846982955933,0.6707355976104736,0.4292237442922374,0.3641791044776119,0.1767631620168686,1.048291210200822,0.2945044581142955,219,335,0.8063047186364339
pulmonary alveolar type 2 cell,EGR1,1.5627732276916504,1.6624096632003784,0.8502358490566038,0.841820987654321,-0.1795676052570343,-2.789922754510696,0.005272061818422646,848,1296,0.02878545752858765
smooth muscle cell,EGR1,0.93922358751297,1.1594643592834473,0.45146726862302483,0.5681818181818182,-0.4900708794593811,-3.2903467723469233,0.0010006398327302138,443,836,0.006662796935008497
vein endothelial cell,EGR1,1.2346436977386475,1.6553804874420166,0.6489746682750301,0.7799325463743676,-0.7971892356872559,-7.664542365584396,1.7946996106187105e-14,829,1186,4.082941614157566e-13
B cell,F13A1,0.005903114099055529,0.018068363890051842,0.008695652173913044,0.02452316076294278,-1.6227107048034668,-0.3651356455658854,0.7150101538126119,345,367,1.0
"CD4-positive, alpha-beta T cell",F13A1,0.0069760787300765514,0.004363982938230038,0.007881538094100788,0.004876010030649206,0.6786568760871887,0.2676032258505573,0.7890047476324001,4187,7178,1.0
"CD8-positive, alpha-beta T cell",F13A1,0.011094140820205212,0.007640563417226076,0.008458035133376708,0.006540977298961139,0.5405418872833252,0.1039204753901002,0.917232458071347,1537,2599,1.0
