cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
capillary endothelial cell,IL1RL1,0.2711239159107208,0.4244377911090851,0.13855421686746988,0.19722790274937516,-0.7635904550552368,-3.9532916285317126,7.708339299966686e-05,1992,4401,0.0006189343026149722
club cell,IL1RL1,0.011079645715653896,0.021373866125941277,0.015189873417721518,0.022388059701492536,-0.9553819298744202,-0.12590195534977497,0.8998095348492107,395,134,1.0
conventional dendritic cell,IL1RL1,0.0032802100758999586,0.006476723123341799,0.006183745583038869,0.010739856801909307,-0.9837834239006042,-0.20504009724999364,0.8375407974159487,1132,1676,1.0
endothelial cell,IL1RL1,0.006185744423419237,0.051470015197992325,0.009230769230769232,0.03236797274275979,-3.0895354747772217,-0.5838844553036778,0.5592980521860311,325,587,1.0
endothelial cell of lymphatic vessel,IL1RL1,0.014876038767397404,0.017812777310609818,0.015748031496062992,0.014598540145985401,-0.26204612851142883,0.016132643691298642,0.9871285710005894,127,137,1.0
fibroblast,IL1RL1,0.021323993802070618,0.039352890104055405,0.017543859649122806,0.02498903989478299,-0.8970627188682556,-0.3103737852377789,0.756276726833381,741,2281,1.0
leukocyte,IL1RL1,0.012040051631629467,0.023286765441298485,0.010810810810810811,0.02617801047120419,-0.9598052501678467,-0.25578564613303484,0.7981163580227967,185,191,1.0
lung multiciliated epithelial cell,IL1RL1,0.013002938590943813,0.01178713794797659,0.0078125,0.007590132827324478,0.142503023147583,0.008796586467017219,0.9929814299863964,896,1054,1.0
macrophage,IL1RL1,0.004188172519207001,0.007952960208058357,0.007992007992007992,0.015741145605596852,-0.927889347076416,-0.43867842758634856,0.6608945603323451,2002,2287,1.0
mast cell,IL1RL1,1.2911969423294067,1.3722652196884155,0.7552388935456832,0.8352459016393443,-0.15893977880477905,-1.4814352845018304,0.1384906180883102,1193,1220,0.45009450878700813
monocyte,IL1RL1,0.003597841365262866,0.012745109386742115,0.006112469437652812,0.012856344326439352,-1.8313474655151367,-0.34313736664706673,0.7314951212227394,1636,1789,1.0
natural killer cell,IL1RL1,0.0032342039048671722,0.0029017613269388676,0.0032798833819241984,0.002641310089804543,0.15672177076339722,0.047365209037809934,0.9622221570497069,2744,5679,1.0
neutrophil,IL1RL1,0.012040020897984505,0.013262545689940453,0.006097560975609756,0.008403361344537815,-0.14040350914001465,-0.04198306507720474,0.9665121983242781,164,357,1.0
plasma cell,IL1RL1,0.004304145462810993,0.004429353401064873,0.00558659217877095,0.014354066985645933,-0.04145940765738487,-0.14756029987254066,0.8826897881395199,179,209,1.0
pulmonary alveolar type 1 cell,IL1RL1,0.0,0.015493212267756462,0.0,0.014925373134328358,-23.896324157714844,-0.29722394489122217,0.7662955420800386,219,335,1.0
pulmonary alveolar type 2 cell,IL1RL1,0.0020824188832193613,0.007197513245046139,0.003537735849056604,0.008487654320987654,-1.792930245399475,-0.19438527356027951,0.8458742199954222,848,1296,1.0
smooth muscle cell,IL1RL1,0.03707766905426979,0.03430537134408951,0.022573363431151242,0.023923444976076555,0.11412771046161652,-0.03850312704760308,0.9692865383108771,443,836,1.0
vein endothelial cell,IL1RL1,0.026473533362150192,0.05526642128825188,0.026537997587454766,0.05227655986509275,-1.0827633142471313,-0.9857918542697768,0.32423526381779055,829,1186,0.8593808448762799
B cell,S100A12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,345,367,1.0
"CD4-positive, alpha-beta T cell",S100A12,0.002658687299117446,0.0014944258145987988,0.002866013852400287,0.0013931457230426303,0.831962525844574,0.13099815055922517,0.895776770437781,4187,7178,1.0
"CD8-positive, alpha-beta T cell",S100A12,0.0055185179226100445,0.0009591411799192429,0.004554326610279766,0.0007695267410542517,2.5277552604675293,0.20367766452380975,0.838605397444103,1537,2599,1.0
