"phenocode","phenotype","category","pval","beta_altC","sebeta","mlogp","maf","n_case","n_control","bonferroni_sig","fdr","rank"
"N14_BREAST","Disorders of breast","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,23556,258508,NA,NA,2025
"N14_BREASTDISOTH","Other disorders of breast","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,5052,258508,NA,NA,2026
"N14_CALCUKIDUR","Calculus of kidney and ureter","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,12999,486185,NA,NA,2027
"N14_CALCULOWER","Calculus of lower urinary tract","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,1878,486185,NA,NA,2028
"N14_CERVICAL_DYSPLASIA_ALL","All dysplastic lesions of the cervix uteri","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,11576,270488,NA,NA,2029
"N14_CERVICAL_DYSPLASIA_NOS","Dysplastic lesion of unknown severity of the cervix uteri","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,358,281706,NA,NA,2030
"N14_CERVICAL_HSIL","HSIL lesion of the cervix uteri","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,7856,274208,NA,NA,2031
"N14_CERVICAL_LSIL","LSIL lesion of the cervix uteri","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,4655,277409,NA,NA,2032
"N14_CHRONEPHROPATH","Chronic nephritic syndrome","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,1438,492922,NA,NA,2033
"N14_CHRONKIDNEYDIS","Chronic kidney disease","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,12787,480448,NA,NA,2034
"N14_CHRONTUBULOINTNEPHRITIS","Chronic tubulo-interstitial nephritis","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,1494,447142,NA,NA,2035
"N14_CYSTITIS","Cystitis","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,61460,403328,NA,NA,2036
"N14_CYSTKID","Cyst of kidney","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,2377,495511,NA,NA,2037
"N14_DIALYSIS","Dialysis","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,1432,480448,NA,NA,2038
"N14_DISIMPAIRRENTUB","Disorders resulting from impaired renal tubular function","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,1186,495511,NA,NA,2039
"N14_DRUGSANDHEAVYMETAL","Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,95,447142,NA,NA,2040
"N14_ENDOMETRIOSIS","Endometriosis","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,20190,130160,NA,NA,2041
"N14_ENDOMETRIOSIS_ASRM_STAGE3_4","Endometriosis ASRM stages 3,4","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,10127,271937,NA,NA,2042
"N14_ENDOMETRIOSIS_DEEP","Deep endometriosis","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,3806,271937,NA,NA,2043
"N14_ENDOMETRIOSIS_FALLOPIAN_TUBE","Endometriosis of fallopian tube","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,280,130160,NA,NA,2044
"N14_ENDOMETRIOSIS_INTESTINE","Endometriosis of intestine","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,617,130160,NA,NA,2045
"N14_ENDOMETRIOSIS_NOS","Unspecified/other endometriosis","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,4152,130160,NA,NA,2046
"N14_ENDOMETRIOSIS_OVARY","Endometriosis of ovary","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,7878,130160,NA,NA,2047
"N14_ENDOMETRIOSIS_PELVICPERITONEUM","Endometriosis of pelvic peritoneum","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,7617,130160,NA,NA,2048
"N14_ENDOMETRIOSIS_RECTPVAGSEPT_VAGINA","Endometriosis of rectovaginal septum and vagina","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,3226,130160,NA,NA,2049
"N14_ENDOMETRIOSIS_SKIN_SCAR","Endometriosis in cutaneous scar","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,118,130160,NA,NA,2050
"N14_ENDOMETRIOSIS_UTERUS","Adenomyosis (Endometriosis of uterus)","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,5673,130160,NA,NA,2051
"N14_ENDOMET_INFERT","Endometriosis diagnosis and infertility diagnosis occurring together","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,4413,268626,NA,NA,2052
"N14_EROSECTROPUT","Erosion and ectropion of cervix uteri","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,1072,130160,NA,NA,2053
"N14_FEMALEGENINF","Inflammatory diseases of female pelvic organs","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,31500,250564,NA,NA,2054
"N14_FEMALEGENNONINF","Noninflammatory disorders of female genital tract","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,151904,130160,NA,NA,2055
"N14_FEMALEINFERT","Female infertility","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,18189,130160,NA,NA,2056
"N14_FEMALE_GENITAL_DYSPLASIA_ALL","All dysplastic lesions of the cervix uteri, vagina or vulva","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,13239,268825,NA,NA,2057
"N14_FEMALE_GENITAL_DYSPLASIA_NOS","Dysplastic lesion of unknown severity in the cervix uteri, vagina or vulva","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,446,281618,NA,NA,2058
"N14_FEMALE_GENITAL_HSIL","HSIL lesion of the cervix uteri, vagina or vulva","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,8608,273456,NA,NA,2059
"N14_FEMALE_GENITAL_LSIL","LSIL lesion of the cervix uteri, vagina or vulva","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,5877,276187,NA,NA,2060
"N14_FEMGENFISTUL","Fistulae involving female genital tract","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,571,130160,NA,NA,2061
"N14_FEMGENPAIN","Pain and other conditions associated with female genital organs and menstrual cycle","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,9904,130160,NA,NA,2062
"N14_FEMGENPROL","Female genital prolapse","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,23074,130160,NA,NA,2063
"N14_FEMPELINFINOTH","Female pelvic inflammatory disorders in diseases classified elsewhere","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,133,250564,NA,NA,2064
"N14_FIANOV","Female infertility, associated with anovulation","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,3617,130160,NA,NA,2065
"N14_FIOTHNAS","Female infertility, cervigal, vaginal, other or unspecified origin","XIV Diseases of the genitourinary system (N14_)",NA,NA,NA,NA,NA,15336,130160,NA,NA,2066
